folder,pop,picname,Body_weight(g),Total_length(mm),Standard_length(mm),cal
All,All,170517040_L,27.6,138.57,111.29,386
All,All,170517041_L,28,147.83,115.99,386
All,All,170517042_L,19.5,130.7,111.05,386
All,All,170517043_L,19.7,130.34,104.92,386
All,All,170517044_L,29.6,143.44,117.76,386
All,All,170517045_L,20.9,125.44,105.81,386
All,All,170517046_L,21.1,130.86,100.66,386
All,All,170517047_R,19.4,132.24,102.73,386
All,All,170517048_L,21,119.97,105.81,386
All,All,170517049_L,20.8,128.05,105.1,386
All,All,170517050_R,25.5,133.04,112.02,386
All,All,170517051_L,22.1,137.29,114.48,386
All,All,170517052_L,18.7,132.9,110.44,386
All,All,170517053_L,18.1,127.27,103.54,386
All,All,170517054_L,90.8,220.65,182.23,386
All,All,170517055_R,37.6,159.67,131.29,386
All,All,170517056_L,32.6,155.01,129.36,386
All,All,170517057_L,35.3,166.63,131.07,386
All,All,170517058_L,29.7,151.67,121.68,386
All,All,170517059_L,18.8,128.19,104.45,386
All,All,170517060_L,17.6,126.62,102.1,386
All,All,170517061_L,23.1,129.58,106.35,386
All,All,170517062_L,62.7,191.47,156.56,386
All,All,170517063_L,33.1,156.01,120.23,386
All,All,170517064_L,26.6,139.94,110.87,386
All,All,170517065_L,52.2,174.54,140.34,386
All,All,170517066_L,43,169.79,132.45,386
All,All,170517067_L,42.7,157.29,128.88,386
All,All,170517068_L,23.9,132.09,107.85,386
All,All,170517069_L,28.3,139.38,115.35,386
All,All,170517070_L,20.4,120.49,97.24,386
All,All,170517071_L,26.1,132.17,105.28,386
All,All,170517072_R,19.3,116.63,90.5,386
All,All,170517073_L,22.6,130.65,101.8,386
All,All,170517074_L,42.8,148.36,123.14,386
All,All,170517075_L,32,139.4,114.37,386
All,All,170517076_L,19.7,119.88,95.27,386
All,All,170517077_L,21,125.1,97.96,386
All,All,170517078_L,14.6,105.68,83.27,386
All,All,170517079_R,14.6,112.48,94.1,386
All,All,170517080_L,17.8,117.18,101.95,386
All,All,170517081_R,20.4,128.5,105.38,386
All,All,170517082_L,20.7,128.9,106.91,386
All,All,170517083_R,20.1,125.2,104.43,386
All,All,170517084_L,21.6,124.28,106.24,386
All,All,170517085_L,19.4,131.69,106.12,386
All,All,170517086_L,19.1,112.12,90.3,386
All,All,170517087_L,20.5,121.57,96.65,386
All,All,170517088_R,12,105.28,80.43,386
All,All,170517089_L,16.9,111.88,93.55,386
All,All,170517090_R,19.2,116.11,91.28,386
All,All,170517092_L,18.8,113.45,94.61,386
All,All,170517093_L,17.1,105.86,92.51,386
All,All,170517094_L,21.7,115.61,98.71,386
All,All,170517095_R,21.2,126.77,101.08,386
All,All,170517096_L,26.5,142.65,108.04,386
All,All,20170914001_L,185.1,276.04,228.29,386
All,All,20170914002_L,129.3,240.98,199.89,386
All,All,20170914003_L,91,214.51,177.6,386
All,All,20170914004_L,70.5,203.89,162.83,386
All,All,20170914005_L,74.4,203.19,166.52,386
All,All,20170914006_L,58.9,194.41,158.05,386
All,All,20170914007_L,83.2,207.44,170.55,386
All,All,20170914008_L,48.1,175.72,143.74,386
All,All,20170914009_L,36.6,162.74,131.32,386
All,All,20170916001_L,190.1,289.32,227.72,386
All,All,20170916002_L,111,227.84,187.64,386
All,All,20170916003_R,114.6,243.77,192.95,386
All,All,20170916004_L,69.7,198.09,162.64,386
All,All,20170916005_L,61.3,192.93,150.97,386
All,All,20170916006_L,46.5,178.69,143.28,386
All,All,20170916007_L,4.5,80.7,64.48,386
All,All,20170913007_R,315.3,385.2,267.32,386
All,All,20170913008_L,188,291.68,235.49,386
All,All,20170913009_L,94.4,231,189.48,386
All,All,20170913010_L,84.2,223.92,178.2,386
All,All,20170913011_L,87.4,217.37,179.88,386
All,All,20170913012_L,104.1,221.7,174.51,386
All,All,20170913013_L,104.9,225.93,191.44,386
All,All,20170913014_L,68.4,204.48,163.43,386
All,All,20170913015_L,67.4,205.59,163.39,386
All,All,20170913016_L,54.3,181.75,150.03,386
All,All,20170913017_L,51.4,180.5,149.94,386
All,All,20170913018_L,47.1,179.16,146.53,386
All,All,20170913019_L,54.8,187.22,151.4,386
All,All,20170913020_L,47.2,181.13,144.17,386
