"","folder","pop","picname","Body_weight.g.","Total_length.mm.","Standard_length.mm.","cal"
"92","CWLZ","CWLZ","170513107_L",52.5,191.89,156.79,386
"93","CWLZ","CWLZ","170513108_L",68.4,207.8,169.46,386
"94","CWLZ","CWLZ","170513109_L",72.3,207.47,171.25,386
"95","CWLZ","CWLZ","170513110_L",48.4,199.36,161.7,386
"96","CWLZ","CWLZ","170513112_L",42,164.98,134.97,386
"97","CWLZ","CWLZ","170513113_R",95.1,223.45,174.68,386
"98","CWLZ","CWLZ","170513114_L",87.9,205.41,168.81,386
"99","CWLZ","CWLZ","170513115_L",88.6,207.07,168.14,386
"100","CWLZ","CWLZ","170513116_L",84.1,207.95,170.67,386
"101","CWLZ","CWLZ","170513117_L",110.3,222.42,183.04,386
"102","CWLZ","CWLZ","170513118_L",100.8,225.56,182.83,386
"103","CWLZ","CWLZ","170513120_L",73.9,196.46,158.05,386
"104","CWLZ","CWLZ","170513122_L",43.2,160.16,126.56,386
"105","CWLZ","CWLZ","170513123_L",64.8,192.92,149.69,386
"106","CWLZ","CWLZ","170513125_L",65.7,193.38,152.81,386
"107","CWLZ","CWLZ","170513126_L",42.9,175.45,136.99,386
"108","CWLZ","CWLZ","170513127_L",28.4,144.6,114.67,386
"109","CWLZ","CWLZ","170513128_L",27.1,145.49,117.43,386
"110","CWLZ","CWLZ","170513129_L",26,142.13,111.06,386
"111","CWLZ","CWLZ","170513130_L",28,148.54,116.89,386
"112","CWLZ","CWLZ","170513131_L",30.1,144.89,123.41,386
"113","CWLZ","CWLZ","170513133_L",84.4,218.52,173.92,386
"114","CWLZ","CWLZ","170513134_L",56.2,189,146.79,386
"115","CWLZ","CWLZ","170513136_R",59.6,190.21,146.83,386
"116","CWLZ","CWLZ","170513137_L",44.3,159.91,129.5,386
"117","CWLZ","CWLZ","170513139_L",31.8,149.84,114.59,386
"118","CWLZ","CWLZ","170513140_R",33,156.53,122.01,386
"119","LKZ","LKZ","170517024_L",48.2,175.09,144.94,386
"120","LKZ","LKZ","170517025_R",39.3,163.09,132.25,386
"121","LKZ","LKZ","170517027_L",34.5,153.17,125.1,386
"122","LKZ","LKZ","170517028_R",40.7,162.63,132.17,386
"123","LKZ","LKZ","170517029_R",31.7,155.44,126.54,386
"124","LKZ","LKZ","170517030_L",28.6,149.7,123.35,386
"125","LKZ","LKZ","170517031_R",23.3,146.82,115.73,386
"126","LKZ","LKZ","170517032_R",19.7,130.68,105.76,386
"127","LKZ","LKZ","170517033_R",18.1,126.23,103.34,386
"128","LKZ","LKZ","170517034_L",139.5,250.87,198.51,386
"129","LKZ","LKZ","170517035_L",155.3,261.21,215.63,386
"130","LKZ","LKZ","170517036_L",139,254.28,212.95,386
"131","LKZ","LKZ","170517037_L",91.2,209.76,172.98,386
"132","LKZ","LKZ","170517038_R",72.7,210.15,170.35,386
"133","LKZ","LKZ","170517039_L",61.7,188.78,150.25,386
"134","LKZ","LKZ","170517040_L",27.6,138.57,111.29,386
"135","LKZ","LKZ","170517041_L",28,147.83,115.99,386
"136","LKZ","LKZ","170517042_L",19.5,130.7,111.05,386
"137","LKZ","LKZ","170517043_L",19.7,130.34,104.92,386
"138","LKZ","LKZ","170517044_L",29.6,143.44,117.76,386
"139","LKZ","LKZ","170517045_L",20.9,125.44,105.81,386
"140","LKZ","LKZ","170517046_L",21.1,130.86,100.66,386
"141","LKZ","LKZ","170517047_R",19.4,132.24,102.73,386
"142","LKZ","LKZ","170517048_L",21,119.97,105.81,386
"143","LKZ","LKZ","170517049_L",20.8,128.05,105.1,386
"144","LKZ","LKZ","170517050_R",25.5,133.04,112.02,386
"145","LKZ","LKZ","170517051_L",22.1,137.29,114.48,386
"146","LKZ","LKZ","170517052_L",18.7,132.9,110.44,386
"147","LKZ","LKZ","170517053_L",18.1,127.27,103.54,386
"148","LKZ","LKZ","170517054_L",90.8,220.65,182.23,386
"149","LKZ","LKZ","170517055_R",37.6,159.67,131.29,386
"150","LKZ","LKZ","170517056_L",32.6,155.01,129.36,386
"151","LKZ","LKZ","170517057_L",35.3,166.63,131.07,386
"152","LKZ","LKZ","170517058_L",29.7,151.67,121.68,386
"153","LKZ","LKZ","170517059_L",18.8,128.19,104.45,386
"154","LKZ","LKZ","170517060_L",17.6,126.62,102.1,386
"155","LKZ","LKZ","170517061_L",23.1,129.58,106.35,386
"156","LKZ","LKZ","170517062_L",62.7,191.47,156.56,386
"157","LKZ","LKZ","170517063_L",33.1,156.01,120.23,386
"158","LKZ","LKZ","170517064_L",26.6,139.94,110.87,386
"159","LKZ","LKZ","170517065_L",52.2,174.54,140.34,386
"160","LKZ","LKZ","170517066_L",43,169.79,132.45,386
"161","LKZ","LKZ","170517067_L",42.7,157.29,128.88,386
"162","LKZ","LKZ","170517068_L",23.9,132.09,107.85,386
"163","LKZ","LKZ","170517069_L",28.3,139.38,115.35,386
"164","LKZ","LKZ","170517070_L",20.4,120.49,97.24,386
"165","LKZ","LKZ","170517071_L",26.1,132.17,105.28,386
"166","LKZ","LKZ","170517072_R",19.3,116.63,90.5,386
"167","LKZ","LKZ","170517073_L",22.6,130.65,101.8,386
