Abbreviation,Number,BW,TL,SL
CWLZ,17051383,87.9,216.48,170.95
CWLZ,17051384,125.9,234.99,185.12
CWLZ,17051385,81.5,203.37,162.53
CWLZ,17051386,131.7,242.13,194.76
CWLZ,17051387,89.7,209.44,162.1
CWLZ,17051388,82.9,207.96,165.46
CWLZ,17051389,66.7,191.52,154.28
CWLZ,17051390,72.1,207.98,156.65
CWLZ,17051391,74.2,194.31,153.31
CWLZ,17051392,82,209.97,161.77
CWLZ,17051393,110.5,235.09,185.67
CWLZ,17051394,86.9,215.05,165.6
CWLZ,17051395,112.5,234.73,189.56
CWLZ,17051396,56.7,182.27,141.88
CWLZ,17051397,84.6,216.95,162.72
CWLZ,17051398,59.4,199.57,154.33
CWLZ,17051399,60.3,193.01,145.28
CWLZ,170513100,55.7,186.71,142.5
CWLZ,170513101,38.1,162.91,127.84
CWLZ,170513102,22.4,136.43,110.62
CWLZ,170513103,60.1,184.51,148.42
CWLZ,170513104,72.6,190.23,148.58
CWLZ,170513105,53.2,181.17,139.4
CWLZ,170513106,63.9,191.68,156.79
CWLZ,170513107,52.5,191.89,156.79
CWLZ,170513108,68.4,207.8,169.46
CWLZ,170513109,72.3,207.47,171.25
CWLZ,170513110,48.4,199.36,161.7
CWLZ,170513111,58.2,184.78,143.14
CWLZ,170513112,42,164.98,134.97
CWLZ,170513113,95.1,223.45,174.68
CWLZ,170513114,87.9,205.41,168.81
CWLZ,170513115,88.6,207.07,168.14
CWLZ,170513116,84.1,207.95,170.67
CWLZ,170513117,110.3,222.42,183.04
CWLZ,170513118,100.8,225.56,182.83
CWLZ,170513119,65.1,186.34,148.73
CWLZ,170513120,73.9,196.46,158.05
CWLZ,170513121,58.4,183.04,146.68
CWLZ,170513122,43.2,160.16,126.56
CWLZ,170513123,64.8,192.92,149.69
CWLZ,170513124,58.5,194.38,149.84
CWLZ,170513125,65.7,193.38,152.81
CWLZ,170513126,42.9,175.45,136.99
CWLZ,170513127,28.4,144.6,114.67
CWLZ,170513128,27.1,145.49,117.43
CWLZ,170513129,26,142.13,111.06
CWLZ,170513130,28,148.54,116.89
CWLZ,170513131,30.1,144.89,123.41
CWLZ,170513132,32.3,160.65,127.92
CWLZ,170513133,84.4,218.52,173.92
CWLZ,170513134,56.2,189,146.79
CWLZ,170513135,71.6,198.14,154.03
CWLZ,170513136,59.6,190.21,146.83
CWLZ,170513137,44.3,159.91,129.5
CWLZ,170513138,31.7,148.79,117.94
CWLZ,170513139,31.8,149.84,114.59
CWLZ,170513140,33,156.53,122.01
CWLZ,170513141,22.6,135.25,103.42
CWLZ,170513142,21.3,132.6,105.56
LKZ,17051724,48.2,175.09,144.94
LKZ,17051725,39.3,163.09,132.25
LKZ,17051726,37.2,158.32,131.52
LKZ,17051727,34.5,153.17,125.1
LKZ,17051728,40.7,162.63,132.17
LKZ,17051729,31.7,155.44,126.54
LKZ,17051730,28.6,149.7,123.35
LKZ,17051731,23.3,146.82,115.73
LKZ,17051732,19.7,130.68,105.76
LKZ,17051733,18.1,126.23,103.34
LKZ,17051734,139.5,250.87,198.51
LKZ,17051735,155.3,261.21,215.63
LKZ,17051736,139,254.28,212.95
LKZ,17051737,91.2,209.76,172.98
LKZ,17051738,72.7,210.15,170.35
LKZ,17051739,61.7,188.78,150.25
LKZ,17051740,27.6,138.57,111.29
LKZ,17051741,28,147.83,115.99
LKZ,17051742,19.5,130.7,111.05
LKZ,17051743,19.7,130.34,104.92
LKZ,17051744,29.6,143.44,117.76
LKZ,17051745,20.9,125.44,105.81
LKZ,17051746,21.1,130.86,100.66
LKZ,17051747,19.4,132.24,102.73
LKZ,17051748,21,119.97,105.81
LKZ,17051749,20.8,128.05,105.1
LKZ,17051750,25.5,133.04,112.02
LKZ,17051751,22.1,137.29,114.48
LKZ,17051752,18.7,132.9,110.44
LKZ,17051753,18.1,127.27,103.54
LKZ,17051754,90.8,220.65,182.23
LKZ,17051755,37.6,159.67,131.29
LKZ,17051756,32.6,155.01,129.36
LKZ,17051757,35.3,166.63,131.07
LKZ,17051758,29.7,151.67,121.68
LKZ,17051759,18.8,128.19,104.45
LKZ,17051760,17.6,126.62,102.1
LKZ,17051761,23.1,129.58,106.35
LKZ,17051762,62.7,191.47,156.56
LKZ,17051763,33.1,156.01,120.23
LKZ,17051764,26.6,139.94,110.87
LKZ,17051765,52.2,174.54,140.34
LKZ,17051766,43,169.79,132.45
LKZ,17051767,42.7,157.29,128.88
LKZ,17051768,23.9,132.09,107.85
LKZ,17051769,28.3,139.38,115.35
LKZ,17051770,20.4,120.49,97.24
LKZ,17051771,26.1,132.17,105.28
LKZ,17051772,19.3,116.63,90.5
LKZ,17051773,22.6,130.65,101.8
LKZ,17051774,42.8,148.36,123.14
LKZ,17051775,32,139.4,114.37
LKZ,17051776,19.7,119.88,95.27
LKZ,17051777,21,125.1,97.96
LKZ,17051778,14.6,105.68,83.27
LKZ,17051779,14.6,112.48,94.1
LKZ,17051780,17.8,117.18,101.95
LKZ,17051781,20.4,128.5,105.38
LKZ,17051782,20.7,128.9,106.91
LKZ,17051783,20.1,125.2,104.43
LKZ,17051784,21.6,124.28,106.24
LKZ,17051785,19.4,131.69,106.12
LKZ,17051786,19.1,112.12,90.3
LKZ,17051787,20.5,121.57,96.65
LKZ,17051788,12,105.28,80.43
LKZ,17051789,16.9,111.88,93.55
LKZ,17051790,19.2,116.11,91.28
LKZ,17051791,23.2,136.33,103.47
LKZ,17051792,18.8,113.45,94.61
LKZ,17051793,17.1,105.86,92.51
LKZ,17051794,21.7,115.61,98.71
